date,organism_name,name,extraction.endPipetteR,extraction.postPatch,rigOperator,status,roi_major,roi_minor,container,p_container
2020-01-03 10:40:30 -0800,Mouse,Gad2-IRES-Cre;Ai14-504539.10.01.01,1000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 2/3,PFS4_200103_701_A01,PFS4
2020-01-03 13:00:07 -0800,Mouse,Pvalb-IRES-Cre;Ai14-504851.11.01.02,2000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 2/3,PFS4_200103_703_A01,PFS4
2020-01-03 13:00:07 -0800,Mouse,Pvalb-IRES-Cre;Ai14-504851.11.01.01,1000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200103_702_A01,PFS4
2020-01-06 13:12:44 -0800,Mouse,Vip-IRES-Cre;Ai14-504179.11.01.02,3000.0,nucleus_present,jessicat,SUCCESS,SSp,layer 5,PFS4_200106_702_A01,PFS4
2020-01-06 13:12:44 -0800,Mouse,Vip-IRES-Cre;Ai14-504179.11.01.01,7.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200106_701_A01,PFS4
2020-01-06 13:29:58 -0800,Mouse,Vip-IRES-Cre;Ai14-504179.09.02.01,5000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 5,PES4_200106_651_A01,PES4
2020-01-06 14:37:16 -0800,Mouse,Vip-IRES-Cre;Ai14-504181.11.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200106_351_A01,P8S4
2020-01-06 14:37:16 -0800,Mouse,Vip-IRES-Cre;Ai14-504181.11.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200106_352_A01,P8S4
2020-01-06 14:37:17 -0800,Mouse,Vip-IRES-Cre;Ai14-504181.08.02.01,5000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 5,PES4_200106_652_A01,PES4
2020-01-06 15:54:23 -0800,Mouse,Vip-IRES-Cre;Ai14-504181.07.02.01,1500.0,nucleus_present,katherineb,SUCCESS,RSPd,layer 5,PES4_200106_653_A01,PES4
2020-01-06 15:59:07 -0800,Mouse,Vip-IRES-Cre;Ai14-504181.12.02.01,5.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200106_703_A01,PFS4
2020-01-06 16:45:44 -0800,Mouse,Vip-IRES-Cre;Ai14-504181.09.02.01,600.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200106_353_A01,P8S4
2020-01-07 09:31:33 -0800,Mouse,Gad2-IRES-Cre;Ai14-504549.09.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200107_351_A01,P8S4
2020-01-07 09:34:14 -0800,Mouse,Gad2-IRES-Cre;Ai14-504549.05.06.02,3000.0,nucleus_present,katherineb,SUCCESS,MOp,layer 5,PES4_200107_652_A01,PES4
2020-01-07 09:34:14 -0800,Mouse,Gad2-IRES-Cre;Ai14-504549.05.06.03,4000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 5,PES4_200107_653_A01,PES4
2020-01-07 09:34:14 -0800,Mouse,Gad2-IRES-Cre;Ai14-504549.05.06.01,2000.0,nucleus_present,katherineb,SUCCESS,MOp,layer 5,PES4_200107_651_A01,PES4
2020-01-07 10:11:39 -0800,Mouse,Gad2-IRES-Cre;Ai14-504549.11.06.01,2000.0,nucleus_present,ramr,SUCCESS,MOp,layer 2/3,PAS4_200107_451_A01,PAS4
2020-01-07 11:07:13 -0800,Mouse,Gad2-IRES-Cre;Ai14-504549.12.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200107_352_A01,P8S4
2020-01-07 13:00:16 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.10.02.01,20.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200107_353_A01,P8S4
2020-01-07 13:00:16 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.10.02.04,100.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200107_356_A01,P8S4
2020-01-07 13:00:16 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.10.02.03,2000.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200107_355_A01,P8S4
2020-01-07 13:00:16 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.10.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200107_354_A01,P8S4
2020-01-07 13:01:56 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.10.01.01,20.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200107_701_A01,PFS4
2020-01-07 13:01:56 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.10.01.02,400.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200107_702_A01,PFS4
2020-01-07 13:05:06 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.07.02.01,3000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 4,PES4_200107_654_A01,PES4
2020-01-07 14:23:55 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.11.01.01,1000.0,nucleus_present,jessicat,SUCCESS,SSp,layer 5,PFS4_200107_703_A01,PFS4
2020-01-07 14:23:55 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504558.11.01.02,2000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200107_704_A01,PFS4
2020-01-07 15:13:25 -0800,Macaca nemestrina,Q20.26.001.11.03.03,1000.0,nucleus_present,lindsayn,SUCCESS,,,PQS4_200107_359_A01,PQS4
2020-01-07 15:13:25 -0800,Macaca nemestrina,Q20.26.001.11.03.01,1000.0,nucleus_present,lindsayn,SUCCESS,,,PQS4_200107_357_A01,PQS4
2020-01-07 15:13:25 -0800,Macaca nemestrina,Q20.26.001.11.03.02,20.0,nucleus_absent,lindsayn,SUCCESS,,,PQS4_200107_358_A01,PQS4
2020-01-07 15:19:20 -0800,Mouse,Vip-IRES-Cre;Ai14-504182.08.01.01,2000.0,nucleus_present,ramr,SUCCESS,RSPd,layer 5,PAS4_200107_452_A01,PAS4
2020-01-07 15:33:41 -0800,Mouse,Vip-IRES-Cre;Ai14-504182.11.01.01,3000.0,nucleus_present,katherineb,SUCCESS,MOs,layer 2/3,PES4_200107_655_A01,PES4
2020-01-07 15:33:41 -0800,Mouse,Vip-IRES-Cre;Ai14-504182.11.01.02,3000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 2/3,PES4_200107_656_A01,PES4
2020-01-07 16:50:45 -0800,Mouse,Vip-IRES-Cre;Ai14-504182.09.02.01,2000.0,nucleus_present,katherineb,SUCCESS,RSPd,layer 2/3,PES4_200107_657_A01,PES4
2020-01-07 16:50:45 -0800,Mouse,Vip-IRES-Cre;Ai14-504182.09.02.02,800.0,nucleus_present,katherineb,SUCCESS,SSp,layer 2/3,PES4_200107_658_A01,PES4
2020-01-09 09:20:23 -0800,Mouse,Gad2-IRES-Cre;Ai14-504550.09.06.01,1000.0,nucleus_present,jessicat,SUCCESS,CTXsp,CLA,PFS4_200109_701_A01,PFS4
2020-01-09 10:21:20 -0800,Mouse,Gad2-IRES-Cre;Ai14-504550.07.06.02,1500.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200109_352_A01,P8S4
2020-01-09 10:21:20 -0800,Mouse,Gad2-IRES-Cre;Ai14-504550.07.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200109_351_A01,P8S4
2020-01-09 12:35:45 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504559.09.01.01,2000.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200109_702_A01,PFS4
2020-01-09 13:07:08 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504559.10.01.02,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200109_354_A01,P8S4
2020-01-09 13:07:08 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504559.10.01.01,700.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200109_353_A01,P8S4
2020-01-09 13:27:34 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504559.09.02.01,1100.0,nucleus_present,katherineb,SUCCESS,MOs,layer 5,PES4_200109_651_A01,PES4
2020-01-09 13:56:12 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504559.11.01.02,5.0,nucleus_present,kristenh,SUCCESS,RSPd,layer 5,P1S4_200109_002_A01,P1S4
2020-01-09 13:56:12 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504559.11.01.01,4.0,nucleus_present,kristenh,SUCCESS,RSPv,layer 5,P1S4_200109_001_A01,P1S4
2020-01-09 14:17:29 -0800,Mouse,Gad2-IRES-Cre;Ai14-504550.04.06.01,1200.0,nucleus_present,katherineb,SUCCESS,MOp,layer 2/3,PES4_200109_652_A01,PES4
2020-01-09 14:50:24 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505711.11.01.02,1500.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200109_356_A01,P8S4
2020-01-09 14:50:24 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505711.11.01.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200109_355_A01,P8S4
2020-01-09 15:14:06 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505711.08.02.01,3000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 5,PES4_200109_653_A01,PES4
2020-01-10 09:56:21 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.07.06.02,100.0,nucleus_present,kristenh,SUCCESS,CTXsp,CLA,P1S4_200110_002_A01,P1S4
2020-01-10 09:56:21 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.07.06.01,5000.0,nucleus_present,kristenh,SUCCESS,ORB,layer 5,P1S4_200110_001_A01,P1S4
2020-01-10 09:56:21 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.07.06.03,80.0,nucleus_present,kristenh,SUCCESS,MOp,layer 5,P1S4_200110_003_A01,P1S4
2020-01-10 10:20:53 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.06.06.01,500.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200110_651_A01,PES4
2020-01-10 10:20:53 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.06.06.02,3000.0,nucleus_present,katherineb,SUCCESS,MOp,layer 2/3,PES4_200110_652_A01,PES4
2020-01-10 10:32:24 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.10.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 6a,P8S4_200110_352_A01,P8S4
2020-01-10 10:32:24 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.10.06.03,50.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200110_353_A01,P8S4
2020-01-10 10:32:24 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.10.06.01,2000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200110_351_A01,P8S4
2020-01-10 11:42:23 -0800,Mouse,Gad2-IRES-Cre;Ai14-504551.09.06.01,2000.0,nucleus_present,katherineb,SUCCESS,MOp,layer 2/3,PES4_200110_653_A01,PES4
2020-01-10 12:56:32 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.11.01.04,2000.0,nucleus_present,kristenh,SUCCESS,SSp,layer 2/3,P1S4_200110_004_A01,P1S4
2020-01-10 13:10:44 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.09.02.01,1200.0,nucleus_present,katherineb,SUCCESS,RSPd,layer 2/3,PES4_200110_654_A01,PES4
2020-01-10 13:15:48 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.08.02.01,500.0,nucleus_present,ramr,SUCCESS,MOp,layer 5,PAS4_200110_451_A01,PAS4
2020-01-10 13:15:48 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.08.02.04,2.5,nucleus_present,ramr,SUCCESS,SSp,layer 5,PAS4_200110_454_A01,PAS4
2020-01-10 13:15:48 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.08.02.03,2000.0,nucleus_present,ramr,SUCCESS,SSp,layer 2/3,PAS4_200110_453_A01,PAS4
2020-01-10 13:15:48 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.08.02.02,6.0,nucleus_present,ramr,SUCCESS,RSPd,layer 5,PAS4_200110_452_A01,PAS4
2020-01-10 13:18:30 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.10.01.01,500.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200110_701_A01,PFS4
2020-01-10 13:18:30 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.10.01.03,1000.0,nucleus_present,jessicat,SUCCESS,SSp,layer 5,PFS4_200110_703_A01,PFS4
2020-01-10 13:18:30 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.10.01.02,1500.0,nucleus_present,jessicat,SUCCESS,SSp,layer 5,PFS4_200110_702_A01,PFS4
2020-01-10 13:19:47 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.10.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200110_354_A01,P8S4
2020-01-10 14:21:51 -0800,Mouse,Slc32a1-IRES-Cre;Ai14-504560.12.02.01,1500.0,nucleus_present,katherineb,SUCCESS,MOs,layer 5,PES4_200110_655_A01,PES4
2020-01-10 15:02:12 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505713.10.02.03,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200110_357_A01,P8S4
2020-01-10 15:02:12 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505713.10.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200110_356_A01,P8S4
2020-01-10 15:02:12 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505713.10.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200110_355_A01,P8S4
2020-01-10 15:29:02 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505713.08.01.01,2900.0,nucleus_present,ramr,SUCCESS,RSPv,layer 2/3,PAS4_200110_455_A01,PAS4
2020-01-10 15:29:02 -0800,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-505713.08.01.02,2300.0,nucleus_present,ramr,SUCCESS,RSPv,layer 2/3,PAS4_200110_456_A01,PAS4
2020-01-13 09:50:49 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.09.06.01,1500.0,nucleus_present,jessicat,SUCCESS,CTXsp,CLA,PFS4_200113_701_A01,PFS4
2020-01-13 09:50:49 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.09.06.02,1500.0,nucleus_present,jessicat,SUCCESS,MOp,layer 5,PFS4_200113_702_A01,PFS4
2020-01-13 09:52:43 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.08.06.01,1000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200113_351_A01,P8S4
2020-01-13 09:52:43 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.08.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200113_352_A01,P8S4
2020-01-13 10:11:45 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.07.06.01,5000.0,nucleus_present,katherineb,SUCCESS,MOp,layer 5,PES4_200113_651_A01,PES4
2020-01-13 11:14:15 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.10.06.01,6.1,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200113_451_A01,PAS4
2020-01-13 11:14:15 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.10.06.02,8.7,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200113_452_A01,PAS4
2020-01-13 11:15:01 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.06.06.01,50.0,nucleus_present,lindsayn,SUCCESS,MOs,layer 5,P8S4_200113_353_A01,P8S4
2020-01-13 11:45:31 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.05.06.01,3000.0,nucleus_present,katherineb,SUCCESS,MOp,layer 2/3,PES4_200113_652_A01,PES4
2020-01-13 11:45:31 -0800,Mouse,Rbp4-Cre_KL100;Ai14-506065.05.06.02,2000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200113_653_A01,PES4
2020-01-13 13:01:30 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.06.01.01,2200.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200113_703_A01,PFS4
2020-01-13 13:04:25 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.04.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200113_355_A01,P8S4
2020-01-13 13:04:25 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.04.02.03,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200113_356_A01,P8S4
2020-01-13 13:04:25 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.04.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,RSPv,layer 5,P8S4_200113_354_A01,P8S4
2020-01-13 13:55:11 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.05.01.01,1400.0,nucleus_present,jessicat,SUCCESS,RSPd,layer 5,PFS4_200113_704_A01,PFS4
2020-01-13 14:20:50 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.04.01.01,1100.0,nucleus_present,katherineb,SUCCESS,RSPd,layer 5,PES4_200113_654_A01,PES4
2020-01-13 14:20:50 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506383.04.01.02,5000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 6a,PES4_200113_655_A01,PES4
2020-01-13 14:51:48 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.09.01.01,130.0,nucleus_present,ramr,SUCCESS,SSp,layer 5,PAS4_200113_453_A01,PAS4
2020-01-13 15:49:10 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.09.02.01,1500.0,nucleus_present,katherineb,SUCCESS,SSp,layer 2/3,PES4_200113_656_A01,PES4
2020-01-13 15:52:51 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.10.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 2/3,P8S4_200113_358_A01,P8S4
2020-01-13 15:52:51 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505762-Ai65.10.02.01,100.0,nucleus_present,lindsayn,SUCCESS,SSp,layer 5,P8S4_200113_357_A01,P8S4
2020-01-14 09:40:25 -0800,Mouse,Htr3a-Cre_NO152;Ai14-506092.09.06.02,4000.0,nucleus_present,ramr,SUCCESS,ORB,layer 2/3,PAS4_200114_452_A01,PAS4
2020-01-14 09:40:25 -0800,Mouse,Htr3a-Cre_NO152;Ai14-506092.09.06.01,2000.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200114_451_A01,PAS4
2020-01-14 09:40:25 -0800,Mouse,Htr3a-Cre_NO152;Ai14-506092.09.06.04,1500.0,nucleus_present,ramr,SUCCESS,ORB,layer 2/3,PAS4_200114_453_A01,PAS4
2020-01-14 09:51:00 -0800,Mouse,Htr3a-Cre_NO152;Ai14-506092.08.06.01,4000.0,nucleus_present,jessicat,SUCCESS,ORB,layer 5,PFS4_200114_701_A01,PFS4
2020-01-14 10:00:10 -0800,Mouse,Htr3a-Cre_NO152;Ai14-506092.07.06.01,1500.0,nucleus_present,katherineb,SUCCESS,ORB,layer 2/3,PES4_200114_651_A01,PES4
2020-01-14 10:00:10 -0800,Mouse,Htr3a-Cre_NO152;Ai14-506092.07.06.02,1500.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200114_652_A01,PES4
2020-01-14 12:51:53 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.03.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 2/3,P8S4_200114_352_A01,P8S4
2020-01-14 12:51:53 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.03.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 6a,P8S4_200114_351_A01,P8S4
2020-01-14 12:51:53 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.03.02.03,50.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200114_353_A01,P8S4
2020-01-14 13:06:52 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.02.01.01,4000.0,nucleus_present,katherineb,SUCCESS,VISp,layer 2/3,PES4_200114_653_A01,PES4
2020-01-14 13:35:51 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.04.02.03,2500.0,nucleus_present,ramr,SUCCESS,RSPv,layer 5,PAS4_200114_456_A01,PAS4
2020-01-14 13:35:51 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.04.02.02,3800.0,nucleus_present,ramr,SUCCESS,VISp,layer 5,PAS4_200114_455_A01,PAS4
2020-01-14 13:35:51 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.04.02.01,3500.0,nucleus_present,ramr,SUCCESS,VISp,layer 5,PAS4_200114_454_A01,PAS4
2020-01-14 13:35:51 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.04.02.04,2400.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200114_457_A01,PAS4
2020-01-14 13:42:41 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.03.01.01,2000.0,nucleus_present,jessicat,SUCCESS,VISp,layer 6a,PFS4_200114_702_A01,PFS4
2020-01-14 14:21:12 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506384.05.02.01,4000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 5,PES4_200114_654_A01,PES4
2020-01-14 15:06:26 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.03.01.01,4000.0,nucleus_present,jessicat,SUCCESS,RSPv,layer 5,PFS4_200114_703_A01,PFS4
2020-01-14 15:11:08 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.03.02.03,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 5,P8S4_200114_356_A01,P8S4
2020-01-14 15:11:08 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.03.02.02,2000.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200114_355_A01,P8S4
2020-01-14 15:11:08 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.03.02.01,500.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200114_354_A01,P8S4
2020-01-14 15:18:36 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.02.02.01,3000.0,nucleus_present,katherineb,SUCCESS,SSp,layer 5,PES4_200114_655_A01,PES4
2020-01-14 16:27:24 -0800,Mouse,Penk-IRES2-Cre-neo;Slc17a6-IRES2-FlpO-505767-Ai65.01.01.01,5000.0,nucleus_present,katherineb,SUCCESS,RSPv,layer 2/3,PES4_200114_656_A01,PES4
2020-01-14 18:15:12 -0800,Human,H20.03.301.11.06.01.04,5000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 4,PES4_200114_660_A01,PES4
2020-01-14 18:15:12 -0800,Human,H20.03.301.11.06.01.03,3000.0,nucleus_present,katherineb,SUCCESS,TCx,layer 4,PES4_200114_659_A01,PES4
2020-01-14 18:15:12 -0800,Human,H20.03.301.11.06.01.01,1500.0,nucleus_present,katherineb,SUCCESS,TCx,layer 2,PES4_200114_657_A01,PES4
2020-01-14 18:15:12 -0800,Human,H20.03.301.11.06.01.02,2200.0,nucleus_present,katherineb,SUCCESS,TCx,layer 1,PES4_200114_658_A01,PES4
2020-01-16 09:50:00 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.08.06.03,50.0,nucleus_present,lindsayn,SUCCESS,ORB,layer 2/3,P8S4_200116_353_A01,P8S4
2020-01-16 09:50:00 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.08.06.02,2000.0,nucleus_present,lindsayn,SUCCESS,CTXsp,CLA,P8S4_200116_352_A01,P8S4
2020-01-16 09:50:00 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.08.06.01,1000.0,nucleus_present,lindsayn,SUCCESS,CTXsp,CLA,P8S4_200116_351_A01,P8S4
2020-01-16 09:50:28 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.09.06.01,2500.0,nucleus_present,jessicat,SUCCESS,CTXsp,CLA,PFS4_200116_701_A01,PFS4
2020-01-16 09:50:28 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.09.06.04,1600.0,nucleus_present,jessicat,SUCCESS,ORB,layer 2/3,PFS4_200116_702_A01,PFS4
2020-01-16 09:54:25 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.07.06.02,10.0,nucleus_present,kristenh,SUCCESS,ORB,layer 2/3,P1S4_200116_001_A01,P1S4
2020-01-16 10:02:25 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.10.06.03,2600.0,nucleus_present,ramr,SUCCESS,MOp,layer 5,PAS4_200116_453_A01,PAS4
2020-01-16 10:02:25 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.10.06.01,590.0,nucleus_present,ramr,SUCCESS,CTXsp,CLA,PAS4_200116_451_A01,PAS4
2020-01-16 10:02:25 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.10.06.02,2500.0,nucleus_present,ramr,SUCCESS,ORB,layer 5,PAS4_200116_452_A01,PAS4
2020-01-16 11:18:14 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.06.06.02,5000.0,nucleus_present,katherineb,SUCCESS,ORB,layer 1,PES4_200116_652_A01,PES4
2020-01-16 11:18:14 -0800,Mouse,Slc17a7-IRES2-Cre;Ai14-506270.06.06.01,9000.0,nucleus_present,katherineb,SUCCESS,CTXsp,CLA,PES4_200116_651_A01,PES4
2020-01-16 13:07:50 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506385.04.02.03,1100.0,nucleus_present,lindsayn,SUCCESS,RSPd,layer 2/3,P8S4_200116_356_A01,P8S4
2020-01-16 13:07:50 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506385.04.02.01,2000.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 5,P8S4_200116_354_A01,P8S4
2020-01-16 13:07:50 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506385.04.02.02,500.0,nucleus_present,lindsayn,SUCCESS,VISp,layer 5,P8S4_200116_355_A01,P8S4
2020-01-16 13:30:01 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506385.05.02.02,900.0,nucleus_present,ramr,SUCCESS,RSPd,layer 5,PAS4_200116_455_A01,PAS4
2020-01-16 13:30:01 -0800,Mouse,Esr2-IRES2-Cre;Ai14-506385.05.02.03,3000.0,nucleus_present,ramr,SUCCESS,RSPd,layer 2/3,PAS4_200116_456_A01,PAS4
